,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,GarageFinish,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
857,5,1481,2,3,343,2,702,702,3,2,0,6,1994,1995,0.0,174000
858,6,1370,2,3,479,2,1090,1370,3,2,1,6,1976,1976,189.0,152000
859,5,2654,2,3,619,3,1054,1512,2,2,2,9,1968,1984,220.0,250000
860,6,1426,1,2,216,3,912,912,2,1,2,7,1918,1998,0.0,189950
861,4,1039,2,3,504,3,1039,1039,3,1,2,6,1965,1965,0.0,131500
862,5,1097,2,3,480,2,1040,1097,3,2,2,6,1984,1985,0.0,152000
863,4,1148,1,3,672,3,1148,1148,3,1,2,6,1959,1959,0.0,132500
865,4,1002,2,3,902,3,1002,1002,3,1,2,5,1970,1970,76.0,148500
866,7,1646,3,2,870,2,1638,1646,2,2,1,6,2006,2007,274.0,248900
867,3,1120,2,3,544,3,1040,1120,1,1,1,5,1961,1961,0.0,129000
869,6,1949,2,2,574,2,1050,1062,2,2,0,8,1993,1994,246.0,236000
870,4,894,1,3,308,3,894,894,3,1,2,5,1962,1962,0.0,109500
871,5,1682,2,3,523,2,804,804,2,2,1,7,1998,1998,116.0,200500
872,4,910,2,2,414,3,105,910,2,1,2,5,1953,1996,0.0,116000
873,4,1268,1,2,288,3,832,1036,3,1,2,6,1949,1950,0.0,133000
874,4,1131,1,3,200,3,676,676,3,1,2,5,1941,1950,0.0,66500
876,3,1040,2,3,648,3,1064,1040,3,1,2,5,1963,1963,0.0,132250
878,4,1155,2,3,576,3,1109,1155,2,1,2,6,1961,1995,0.0,148000
879,4,864,1,2,336,3,864,864,3,1,2,6,1978,2005,90.0,136500
881,6,1717,2,2,400,2,1156,1187,2,2,1,7,1990,1991,117.0,187500
882,5,1593,2,3,389,2,808,808,3,2,1,7,1992,1993,0.0,178000
883,3,2230,1,2,440,3,795,954,3,1,2,10,1912,1950,0.0,118500
884,4,892,1,3,288,3,892,892,3,1,1,5,1967,1967,60.0,100000
886,4,1712,2,3,588,3,1626,1712,3,2,0,8,1959,2005,122.0,145000
887,4,1393,1,3,300,3,816,872,3,1,2,8,1955,1955,0.0,135500
889,5,1505,2,3,505,3,1505,1505,3,1,1,6,1953,1953,90.0,149500
890,4,924,2,3,576,3,672,672,3,1,2,6,1949,2006,0.0,122900
891,5,1683,2,3,440,3,918,918,3,2,1,7,1978,1978,92.0,172500
892,5,1068,1,3,264,3,1059,1068,3,1,1,6,1963,2003,0.0,154500
893,4,1383,1,3,354,2,1383,1383,3,1,2,6,1954,1954,0.0,165000
896,3,951,1,3,327,3,951,951,3,1,2,6,1936,1950,0.0,106500
899,4,1236,1,3,288,3,912,1236,3,1,2,6,1961,1994,0.0,135000
900,3,858,1,3,684,3,858,858,3,1,2,4,1971,1971,0.0,110000
901,4,1306,1,3,756,3,992,1306,3,1,2,5,1957,2000,0.0,153000
902,6,1509,2,2,393,2,783,807,2,2,0,8,2003,2003,0.0,180000
903,6,1670,3,2,690,2,1670,1670,2,2,1,7,2006,2006,27.0,240000
904,4,902,1,3,288,3,876,902,3,1,2,6,1967,1967,75.0,125500
905,4,1063,1,3,280,3,1056,1063,3,1,1,6,1954,1954,110.0,128000
906,7,1636,3,2,865,2,1623,1636,2,2,1,8,2006,2006,208.0,255000
907,6,2057,1,2,180,2,1017,1020,2,1,0,6,1936,1987,0.0,250000
908,4,902,2,3,484,2,864,902,3,1,2,5,1983,1983,0.0,131000
909,5,1484,2,2,390,2,742,742,2,2,0,8,2005,2005,0.0,174000
911,4,1268,1,3,252,2,1268,1268,2,1,2,5,1977,1989,0.0,143500
912,4,1015,1,3,450,3,768,1015,3,1,2,6,1925,1950,0.0,88000
913,4,2002,3,3,871,3,1001,1001,3,2,2,8,1949,1950,0.0,145000
914,5,1224,2,2,528,2,612,612,2,2,1,4,2009,2009,76.0,173733
915,3,1092,1,3,286,3,546,546,3,1,2,6,1970,1970,80.0,75000
916,1,480,1,3,308,3,480,480,3,0,2,4,1949,1950,0.0,35311
917,3,1229,1,3,284,3,1134,1229,3,1,1,6,1956,1956,0.0,135000
920,5,1721,2,2,471,2,928,936,2,2,1,7,1994,1994,105.0,201000
921,4,2200,0,3,0,3,1272,1272,3,2,3,9,1900,2003,0.0,145900
922,5,1316,2,2,397,2,1316,1316,2,2,0,6,2005,2006,0.0,169990
923,5,1617,2,2,533,2,1604,1617,2,2,1,5,1993,1994,0.0,193000
924,5,1686,2,3,612,2,1686,1686,3,2,2,7,1980,1980,157.0,207500
927,6,1978,2,3,486,3,832,1098,3,2,1,9,1968,1968,342.0,176000
929,6,2236,2,3,642,2,964,993,2,2,0,8,1997,1997,285.0,222000
930,7,1466,3,2,610,2,1466,1466,2,2,0,7,2007,2007,0.0,201000
931,4,925,1,3,429,3,925,925,3,1,2,5,1965,1965,0.0,117500
933,6,1500,2,2,570,2,1500,1500,2,2,1,6,2004,2004,210.0,190000
934,6,2069,2,3,505,2,585,2069,2,2,1,9,1960,2007,0.0,242000
935,3,747,2,3,528,1,600,747,3,1,2,5,1926,1953,108.0,79900
936,6,1200,2,2,555,2,1176,1200,2,2,1,5,2003,2003,103.68526170798899,184900
937,6,1971,2,2,689,2,1113,1113,2,2,1,8,2005,2005,0.0,253000
938,6,1962,3,2,868,2,1391,1391,2,2,1,7,2006,2006,0.0,239799
939,6,2403,1,3,349,3,1032,1207,3,2,2,10,1940,1950,0.0,244400
940,5,1728,2,3,574,3,1728,1728,3,2,2,8,1976,1976,0.0,150900
941,6,2060,2,2,390,2,992,1022,2,2,1,8,1999,1999,298.0,214000
942,3,1440,0,3,0,2,1440,1440,3,2,3,8,1977,1977,0.0,150000
943,4,1632,2,3,576,3,1632,1632,3,2,2,8,1967,1967,0.0,143000
945,4,1869,2,3,456,3,1088,1188,3,1,2,7,1890,1996,0.0,124900
946,4,1144,1,3,796,3,1144,1144,3,1,1,6,1959,1959,128.0,143000
947,7,1629,3,2,808,2,1616,1629,2,2,0,9,2002,2003,236.0,270000
948,6,1776,2,2,474,2,936,936,2,2,1,7,2002,2002,144.0,192500
949,5,1381,2,3,676,3,1161,1381,2,1,1,5,1972,2006,0.0,197500
950,4,864,2,3,720,3,864,864,2,1,1,5,1950,2002,0.0,129000
951,4,965,1,3,300,3,828,965,3,1,2,6,1965,1965,0.0,119900
952,4,768,1,3,396,2,768,768,3,1,0,5,1972,2003,0.0,133900
953,4,1968,2,3,530,3,784,1168,3,2,1,7,1969,1969,232.0,172000
954,5,980,0,3,0,2,945,980,3,2,3,4,1975,1975,250.0,127500
956,5,1229,2,3,462,2,561,561,3,1,0,5,1980,1980,0.0,124000
957,4,1057,2,3,576,3,1057,1057,3,1,0,6,1962,1962,0.0,132000
958,6,1337,2,2,531,2,1337,1337,2,2,1,6,2003,2003,0.0,185000
959,6,1416,2,2,484,2,696,696,2,2,2,6,1999,1999,0.0,155000
960,4,858,0,3,0,3,858,858,3,1,3,4,1958,2008,0.0,116500
962,5,1548,2,3,440,2,804,804,2,2,2,7,1976,1976,0.0,155000
964,6,1894,2,2,510,2,817,824,2,2,0,8,2002,2003,44.0,214900
965,5,1484,2,2,393,2,783,783,2,2,0,8,2005,2007,0.0,178900
966,4,1308,1,2,256,3,728,976,3,1,2,7,1940,1950,0.0,160000
967,4,1098,1,3,260,3,1098,1098,3,1,2,6,1955,1955,151.0,135000
968,2,968,0,3,0,3,600,600,3,1,3,6,1910,1950,0.0,37900
969,5,1095,1,3,264,3,588,1095,3,1,1,6,1958,1958,105.0,140000
970,3,1192,0,3,0,3,720,720,3,1,3,6,1949,1950,0.0,135000
971,6,1626,2,2,474,2,764,764,2,2,1,6,2003,2004,106.0,173000
972,5,918,1,3,264,2,918,918,3,2,2,5,1979,1979,0.0,99500
973,6,1428,2,2,480,2,1428,1428,2,2,0,6,2007,2008,103.68526170798899,182000
974,6,2019,2,3,532,2,728,1136,2,1,2,8,1910,1993,0.0,167500
975,6,1382,2,2,490,2,673,673,2,2,2,6,2000,2000,0.0,165000
976,3,869,0,3,0,2,440,869,1,1,3,4,1923,1958,0.0,85500
977,6,1241,2,2,569,2,1241,1241,2,1,0,4,2006,2007,103.68526170798899,199900
978,3,894,2,3,400,3,894,894,3,1,2,5,1954,1954,0.0,110000
979,4,1121,2,3,480,3,1121,1121,3,1,2,5,1963,1963,0.0,139000
982,6,1266,2,2,388,2,1266,1266,2,2,0,6,2007,2007,16.0,159895
983,7,2290,2,2,779,2,1128,1149,2,2,2,9,2002,2002,0.0,255900
985,4,1164,1,3,240,3,1164,1164,3,1,2,5,1950,1950,0.0,125000
986,5,1635,1,3,255,3,485,1001,2,1,2,5,1910,2003,0.0,117000
988,5,2030,2,3,551,3,848,1118,2,2,0,8,1976,1976,298.0,195000
989,6,1576,2,2,614,2,770,778,2,2,1,6,2006,2006,0.0,197000
992,5,1851,2,3,440,3,822,1020,2,2,1,7,1964,1993,340.0,187000
993,5,1500,2,3,564,2,750,750,2,2,1,6,2005,2006,0.0,173900
995,3,1230,1,3,305,3,747,774,3,1,2,5,1946,1950,0.0,121600
996,4,1050,1,3,368,3,1050,1050,3,1,2,6,1961,1961,0.0,136500
998,2,1077,1,3,210,3,1007,1077,3,1,2,6,1922,1950,0.0,91000
999,6,1208,2,2,632,2,1187,1208,2,2,1,6,2006,2006,24.0,206000
1002,7,1574,3,2,824,2,1574,1574,2,2,1,7,2006,2006,53.0,232000
1003,4,1680,2,3,528,3,1680,1680,3,2,2,8,1976,1976,164.0,136905
1004,6,1504,2,2,457,2,1346,1504,2,2,0,7,2005,2006,16.0,181000
1005,4,985,1,2,328,2,985,985,3,2,2,6,1977,1977,220.0,149900
1006,5,1657,2,3,484,2,1657,1657,3,2,2,7,1970,1970,0.0,163500
1007,3,1092,1,3,286,3,546,546,3,1,1,6,1970,1970,0.0,88000
1009,4,1522,0,3,0,3,1008,1008,3,2,3,7,1926,1950,0.0,102000
1010,4,1271,1,3,312,3,720,720,3,2,2,7,1948,1950,0.0,135000
1012,5,1502,1,3,180,3,602,900,2,1,2,7,1923,1996,0.0,165000
1013,4,1022,1,3,280,3,1022,1022,3,1,2,4,1910,2006,0.0,85000
1014,5,1082,1,3,240,3,1082,1082,3,1,2,5,1948,1950,206.0,119200
1015,7,1665,2,2,528,2,810,810,2,2,0,6,2001,2001,0.0,227000
1016,6,1504,2,2,478,2,1504,1504,2,2,0,6,1996,1996,196.0,203000
1017,7,1360,2,2,565,2,1220,1360,2,1,1,4,1984,1984,0.0,187500
1018,6,1472,2,2,402,2,384,802,2,2,1,7,1991,1992,76.0,160000
1019,6,1506,2,2,440,2,1362,1506,2,2,0,6,2005,2005,145.0,213490
1020,3,1132,2,3,451,2,1132,1132,2,1,0,5,2005,2005,0.0,176000
1021,6,1220,2,2,632,2,1199,1220,2,2,1,6,2006,2006,84.0,194000
1022,4,1248,1,3,160,3,912,912,3,1,2,6,1930,1950,0.0,87000
1023,6,1504,2,2,437,2,1346,1504,2,2,0,7,2005,2006,14.0,191000
1025,4,882,2,3,461,3,882,882,3,1,2,5,1972,1972,0.0,112500
1026,4,1264,2,3,461,3,1268,1264,3,1,2,6,1960,1960,324.0,167500
1027,7,1646,3,2,800,2,1638,1646,2,2,1,7,2007,2008,338.0,293077
1028,4,1376,1,3,240,3,768,968,3,1,2,6,1941,1950,0.0,105000
1029,5,1218,1,3,264,3,672,672,3,1,2,7,1972,1972,281.0,118000
1030,4,1928,0,3,0,3,686,948,3,2,3,10,1916,1995,0.0,160000
1032,7,2520,3,2,796,2,1338,1352,2,2,1,10,1993,1993,0.0,310000
1033,6,1654,3,2,900,2,1654,1654,2,2,2,6,2002,2002,295.0,230000
1034,4,954,1,3,240,1,920,954,1,1,2,5,1938,1950,0.0,119750
1037,7,2263,2,2,905,2,1055,1055,2,2,0,7,2001,2002,396.0,287000
1038,3,1344,0,3,0,3,546,798,3,1,3,6,1970,2008,0.0,97000
1039,3,630,1,3,286,2,630,630,3,1,2,3,1970,1970,0.0,80000
1040,4,1803,2,3,484,3,1134,1803,3,2,1,8,1957,2000,67.0,155000
1041,5,1632,2,3,484,3,800,800,2,1,2,7,1966,2000,252.0,173000
1042,5,1306,2,2,624,2,1306,1306,2,2,1,5,2005,2005,135.0,196000
1043,6,2329,2,3,514,2,1475,1532,2,2,2,10,1990,1990,99.0,262280
1047,4,990,2,3,672,2,990,990,3,1,2,5,1994,1995,0.0,145000
1050,6,1302,2,2,436,2,1302,1302,2,2,0,6,2007,2007,0.0,176485
1051,6,1316,2,2,440,2,1316,1316,2,2,0,6,2007,2007,0.0,200141
1052,5,1977,2,3,540,3,816,1127,3,1,1,9,1964,1978,272.0,165000
1053,4,1526,1,3,364,3,1216,1526,3,1,2,7,1957,2002,145.0,144500
1054,7,1989,2,2,586,2,1065,1091,2,2,0,7,2002,2002,210.0,255000
1055,5,1523,2,3,478,2,1193,1523,3,2,0,7,1976,1976,160.0,180000
1056,6,1364,2,2,484,2,1364,1364,2,2,1,6,2005,2005,240.0,185850
1057,6,1850,2,2,467,2,973,979,2,2,0,7,1994,1994,0.0,248000
1060,7,1338,2,2,582,2,1338,1338,2,2,0,6,2001,2001,0.0,213500
1062,4,2337,2,3,560,3,662,1422,3,2,2,10,1900,1950,0.0,90000
1063,5,1103,2,3,440,3,1103,1103,2,1,2,5,1925,1980,0.0,110500
1064,4,1154,2,3,480,3,1154,1154,3,1,1,6,1966,1966,200.0,154000
1066,5,1571,2,2,380,2,799,799,3,2,1,7,1993,1994,0.0,178000
1067,5,1611,2,3,442,3,780,798,3,1,1,7,1964,1964,360.0,167900
1068,5,2521,2,3,576,2,942,1291,3,2,0,10,1973,1973,0.0,151400
1069,4,893,2,3,576,3,845,893,2,1,2,4,1949,2003,0.0,135000
1070,4,1048,1,3,286,3,1048,1048,3,1,2,6,1956,1956,120.0,135000
1071,5,1556,2,3,441,3,727,829,3,1,2,8,1968,1968,0.0,154000
1072,4,1456,1,3,280,1,810,1002,3,1,2,7,1948,1950,0.0,91500
1073,5,1426,2,3,440,3,690,698,3,1,0,6,1977,1977,140.0,159500
1074,6,1240,3,2,826,2,1240,1240,2,2,1,5,2006,2006,0.0,194000
1075,6,1740,1,3,240,3,800,960,3,1,2,6,1940,1984,0.0,219500
1076,4,1466,2,3,566,1,796,1096,2,2,2,7,1936,1989,0.0,170000
1077,4,1096,1,3,299,3,1096,1096,3,1,0,6,1969,1969,0.0,138800
1078,5,848,2,2,420,2,848,848,2,1,1,3,2004,2004,169.0,155900
1079,4,990,1,3,299,2,990,990,3,1,2,5,1994,1994,0.0,126000
1080,5,1258,2,2,528,3,1258,1258,2,2,1,5,1971,2004,144.0,145000
1081,4,1040,1,3,308,3,1040,1040,3,1,0,5,1963,1963,0.0,133000
1082,6,1459,2,2,527,2,1459,1459,2,2,1,6,2002,2002,100.0,192000
1084,5,1498,2,3,409,2,691,691,3,2,0,6,1995,1996,0.0,187500
1085,5,996,2,3,564,2,936,996,2,1,2,5,1992,1992,0.0,147000
1086,3,1092,1,3,286,3,546,546,3,1,1,6,1973,1973,0.0,83500
1088,6,1709,2,2,380,2,970,970,2,2,2,7,2004,2004,50.0,137500
1089,7,1247,2,2,550,2,1247,1247,2,1,0,4,2005,2005,0.0,197000
1091,6,1252,2,2,462,2,600,624,2,2,2,4,1999,2000,212.0,160000
1092,5,1694,2,3,576,3,1181,1390,3,2,2,7,1925,1950,0.0,136500
1093,4,1200,2,3,884,3,864,1200,2,1,2,6,1965,1998,166.0,146000
1094,4,936,1,3,308,3,936,936,3,1,0,4,1956,2000,0.0,129000
1095,5,1314,2,2,440,2,1314,1314,2,2,1,6,2006,2006,0.0,176432
1096,5,1355,0,3,0,3,684,773,2,1,3,7,1914,2006,0.0,127000
1097,7,1088,2,2,461,2,1074,1088,2,1,1,5,1986,1986,0.0,170000
1098,3,1324,1,3,240,3,672,757,3,1,2,6,1936,1950,0.0,128000
1099,6,1601,2,3,478,2,1271,1601,3,2,1,7,1978,1978,206.0,157000
1100,1,438,1,3,246,3,290,438,1,1,2,3,1920,1950,0.0,60000
1101,4,950,1,3,280,3,950,950,3,1,2,5,1971,1971,0.0,119500
1102,4,1134,1,3,254,3,1010,1134,3,1,1,6,1960,2002,45.0,135000
1103,5,1194,2,3,539,3,655,1194,3,1,0,6,1959,1959,0.0,159500
1104,4,1302,2,3,440,3,630,630,3,2,2,6,1970,1970,304.0,106000
1106,6,1442,2,2,719,2,910,1442,2,2,0,6,1990,1991,0.0,179900
1108,5,1690,2,3,463,2,924,948,3,2,1,7,2000,2000,0.0,181000
1110,5,1658,2,3,431,2,773,773,3,2,0,8,1995,1996,0.0,188000
1112,4,816,1,3,308,3,816,816,3,1,2,5,1957,1957,0.0,129900
1113,4,1008,1,3,240,3,1008,1008,2,1,2,6,1953,2006,0.0,134500
1114,4,833,1,3,326,3,833,833,2,1,2,4,1954,2000,0.0,117000
1116,7,1419,2,2,527,2,408,779,2,2,0,7,2002,2002,0.0,184100
1117,4,894,2,3,450,3,894,894,2,1,1,5,1967,2003,0.0,130000
1118,4,1601,1,3,300,3,533,1021,3,1,1,6,1958,1987,0.0,140000
1119,4,1040,1,3,286,3,1040,1040,3,1,1,6,1959,1959,0.0,133700
1120,5,1012,1,3,308,3,1012,1012,3,1,2,6,1920,1950,0.0,118400
1121,6,1552,3,2,782,2,1552,1552,2,2,1,7,2005,2006,196.0,212900
1122,3,960,1,3,288,3,672,960,3,1,2,5,1956,1956,0.0,112000
1123,4,698,0,3,0,3,698,698,3,1,3,4,1947,2008,0.0,118000
1124,6,1482,2,3,392,2,384,812,2,2,0,7,1992,1992,170.0,163900
1125,3,1005,2,3,672,3,1005,1005,1,1,2,5,1955,1955,0.0,115000
1126,6,1555,3,2,660,2,1373,1555,2,2,0,7,2007,2007,130.0,174000
1127,6,1530,3,2,630,2,1530,1530,2,2,0,7,2004,2004,0.0,259000
1128,6,1959,2,2,434,2,847,847,2,2,0,8,2004,2005,0.0,215000
1129,4,936,2,3,672,2,936,936,3,1,2,4,1980,1980,180.0,140000
1130,3,1981,2,3,576,3,1122,1328,2,2,2,7,1928,1950,0.0,135000
1131,4,974,0,3,0,2,974,974,3,1,3,5,1991,1992,0.0,93500
1133,7,2020,2,2,466,2,1128,1142,2,2,1,8,1995,1995,0.0,239500
1134,5,1600,2,3,460,2,916,916,3,2,0,7,1997,1997,0.0,169000
1135,5,986,1,3,180,3,960,986,3,1,2,5,1926,1950,0.0,102000
1136,5,1252,1,3,288,3,1032,1032,3,1,2,6,1950,1950,0.0,119000
1138,5,1567,2,3,714,3,1567,1567,2,2,1,5,1977,1977,0.0,196000
1139,4,1167,2,3,495,3,915,1167,3,1,2,6,1920,1950,0.0,144000
1140,4,952,2,3,840,3,952,952,3,1,2,4,1951,1951,0.0,139000
1141,4,1868,2,3,484,3,780,1088,2,2,2,9,1976,1976,44.0,197500
1143,4,1006,0,3,0,3,1006,1006,3,1,3,5,1959,1959,0.0,80000
1144,3,924,1,3,280,2,672,672,1,1,2,5,1941,1950,0.0,80000
1145,4,1576,1,3,225,3,1042,1042,3,1,2,8,1928,1950,0.0,149000
1146,5,1298,2,2,403,2,1298,1298,2,2,2,5,1985,1985,85.0,180000
1147,6,1564,1,3,234,3,704,860,1,1,2,7,1941,1950,0.0,174500
1148,6,1111,1,3,288,3,572,572,3,1,2,5,1926,1950,0.0,116900
1149,6,1482,2,3,324,3,650,832,3,1,2,7,1920,1988,0.0,143000
1150,5,932,1,3,306,3,932,932,2,1,2,4,1950,1950,0.0,124000
1151,4,1466,2,3,528,3,1466,1466,1,1,0,6,1959,1959,132.0,149900
1153,5,816,1,2,432,3,816,816,3,1,2,5,1930,2007,0.0,120500
1154,6,1820,2,3,492,3,864,902,2,1,2,8,1965,1988,288.0,201800
1155,4,1437,2,2,528,2,1437,1437,2,2,1,6,1976,2004,0.0,218000
1156,4,1265,2,3,502,3,1219,1265,2,2,1,6,1965,1999,0.0,179900
1157,6,1314,2,2,626,2,1314,1314,2,2,1,6,2007,2008,166.0,230000
1158,7,1580,3,2,830,2,1580,1580,2,2,1,7,2007,2008,186.0,235128
1159,5,1876,2,2,540,3,901,943,2,2,1,8,1974,1974,270.0,185000
1160,5,1456,2,3,440,2,855,855,3,2,2,7,1978,1978,0.0,146000
1161,5,1640,2,2,924,3,1296,1640,2,1,2,7,1954,2006,72.0,224000
1162,4,894,2,3,450,2,894,894,3,1,0,5,1968,1968,0.0,129000
1163,3,1258,2,3,400,2,1198,1258,3,0,2,6,1969,1969,0.0,108959
1164,4,1432,2,3,588,2,1360,1432,2,1,2,5,1978,1978,0.0,194000
1165,6,1502,2,2,644,2,1502,1502,2,2,1,7,2009,2009,268.0,233170
1166,7,1694,3,2,776,2,1694,1694,2,2,1,7,2008,2008,72.0,245350
1167,5,1671,2,3,472,2,959,959,3,2,0,7,2000,2000,0.0,173000
1168,5,2108,2,3,540,3,1127,1236,2,2,2,7,1935,1986,0.0,235000
1170,5,1118,1,3,358,3,1096,1118,3,1,0,6,1977,1977,0.0,171000
1171,5,1261,2,3,433,3,1261,1261,3,1,1,6,1958,1958,0.0,163000
1172,6,1250,2,2,625,2,625,625,2,2,0,5,2006,2007,0.0,171900
1174,5,2345,2,3,360,2,952,1170,3,2,2,9,1932,1950,0.0,239000
1176,4,923,1,3,264,3,876,923,3,1,2,5,1984,1985,0.0,119500
1177,5,1224,1,3,210,3,818,818,3,1,2,5,1926,2004,0.0,115000
1178,4,1343,1,3,186,3,731,820,3,1,2,7,1921,1950,0.0,154900
1180,6,2514,2,3,693,2,1216,1298,3,2,0,8,1990,1991,0.0,250000
1183,4,1130,2,3,720,3,1120,1130,3,1,2,5,1920,1950,0.0,120000
1185,4,1221,1,3,392,3,784,949,3,1,2,7,1924,1950,0.0,104900
1186,2,1699,2,3,420,1,978,1014,3,2,2,7,1900,1970,0.0,95000
1187,7,1624,3,2,757,2,1624,1624,2,2,1,5,1994,1995,0.0,262000
1188,6,1660,2,2,493,2,831,831,2,2,1,7,2002,2002,95.0,195000
1189,6,1804,2,3,442,3,994,1028,2,2,0,7,1999,1999,0.0,189000
1192,4,1472,1,3,250,3,702,842,2,1,2,6,1925,1994,0.0,125000
1194,5,1352,1,3,299,3,663,663,3,1,0,7,1969,1969,143.0,158000
1195,5,1456,2,3,400,2,728,728,2,2,0,8,2005,2005,0.0,176000
1196,6,1863,3,2,660,2,879,879,2,2,0,9,2006,2006,0.0,219210
1197,6,1690,1,3,225,3,815,815,3,1,2,7,1916,1950,0.0,144000
1198,6,1212,2,2,573,2,1212,1212,2,2,1,6,2001,2001,0.0,178000
1199,3,1382,2,3,459,3,1051,1382,3,1,2,6,1963,1979,51.0,148000
1200,3,864,1,3,280,3,864,864,3,1,2,5,1970,1970,0.0,116050
1201,6,1779,2,3,546,2,866,866,2,2,1,6,1998,1998,0.0,197900
1202,4,1348,1,3,216,3,884,884,3,1,2,5,1925,1997,0.0,117000
1203,6,1630,2,2,451,2,1630,1630,2,2,2,6,2000,2001,171.0,213000
1204,4,1074,2,3,495,2,1056,1074,3,1,1,6,1975,1975,0.0,153500
1206,3,1056,1,3,384,3,1056,1056,3,1,2,5,1966,1966,0.0,107000
1207,5,1700,2,2,544,2,1682,1700,2,2,1,7,2003,2003,120.0,200000
1208,4,1283,2,3,506,3,931,1283,3,1,2,6,1962,1980,0.0,140000
1210,5,1845,2,2,462,2,1055,1055,2,2,1,8,1992,1992,0.0,189000
1211,7,1752,2,2,492,2,559,1080,3,2,1,8,1988,2005,0.0,164000
1212,3,672,1,3,234,3,672,672,3,1,2,4,1941,1950,0.0,113000
1213,3,960,1,3,364,3,648,960,3,0,2,3,1965,2001,0.0,145000
1214,4,999,1,3,300,3,925,999,3,1,2,6,1962,1962,0.0,134500
1215,4,894,1,3,384,3,894,894,3,1,1,5,1966,1966,0.0,125000
1217,7,1314,2,2,552,2,1300,1314,2,2,1,6,2009,2009,72.0,229456
1219,5,1218,0,3,0,3,672,672,3,1,3,7,1971,1971,236.0,91500
1220,4,912,1,3,288,3,912,912,3,1,2,5,1964,1964,0.0,115000
1221,4,1211,1,3,322,3,952,1211,3,1,2,5,1968,1968,0.0,134000
1222,5,1846,1,3,315,3,1040,1168,3,2,2,7,1949,1950,320.0,143000
1224,6,1490,2,2,388,2,788,788,2,2,0,8,2004,2005,0.0,184000
1225,5,1138,1,3,264,3,588,1138,3,1,1,6,1958,1958,63.0,145000
1226,5,1933,3,2,668,2,894,894,2,2,0,9,2007,2007,74.0,214000
1227,4,912,2,3,576,3,912,912,2,1,2,5,1965,2008,300.0,147000
1229,4,1507,1,3,404,3,1075,1507,3,2,2,7,1960,1960,0.0,127000
1231,4,1190,2,3,540,3,1106,1190,3,1,2,6,1962,1962,120.0,132500
1233,4,1188,2,3,531,3,1188,1188,3,1,1,6,1959,1959,180.0,142000
1234,4,1964,0,3,0,3,940,1024,3,1,3,7,1911,1950,0.0,130000
1235,4,1784,1,3,180,2,747,892,3,1,2,9,1914,1950,0.0,138887
1236,6,1626,2,2,474,2,764,764,2,2,1,6,2003,2003,106.0,175500
1237,6,1948,2,2,434,2,847,847,2,2,0,8,2004,2005,0.0,195000
1238,5,1141,2,2,484,2,1141,1141,3,1,2,6,2005,2005,0.0,142500
1240,6,1768,2,2,543,2,884,884,2,2,1,8,2003,2003,252.0,224900
1242,6,1173,2,3,528,2,1053,1173,2,2,1,6,1974,1974,81.0,170000
1244,7,1517,2,3,400,2,792,792,2,1,2,7,1929,1950,0.0,230000
1245,5,1868,2,3,477,2,585,1140,3,3,0,7,1984,2003,74.0,178000
1246,6,1553,2,2,615,2,756,756,2,2,1,6,2005,2006,0.0,186500
1247,5,1034,3,3,888,3,1012,1034,3,1,2,6,1976,1976,335.0,169900
1248,5,2058,2,3,396,2,735,1134,3,1,2,8,1917,1950,0.0,129500
1249,4,988,1,3,276,3,876,988,3,1,2,6,1950,1950,0.0,119000
1251,6,1405,2,2,478,2,1405,1405,2,2,1,6,2003,2003,163.0,171750
1252,4,874,1,3,288,3,864,874,3,1,1,5,1968,1968,0.0,130000
1253,6,2167,2,2,518,3,1192,1516,2,2,1,9,1974,2003,0.0,294000
1254,6,1656,2,2,397,2,746,760,2,2,0,7,2003,2004,92.0,165400
1255,5,1367,1,3,560,3,884,959,3,1,2,6,1931,1950,0.0,127500
1257,4,864,0,3,0,1,864,864,3,1,3,4,1922,1950,0.0,99900
1258,6,1166,2,2,400,2,856,1166,2,2,0,5,2005,2005,182.0,190000
1259,5,1054,2,3,460,2,1054,1054,3,1,2,6,1969,1969,0.0,151000
1260,5,1675,2,3,502,2,841,892,3,2,0,7,1999,1999,0.0,181000
1261,4,1050,1,3,338,3,1050,1050,3,1,2,5,1956,1956,0.0,128900
1262,3,1788,1,3,304,3,1104,1104,3,1,2,8,1957,1989,0.0,161500
1263,5,1824,2,3,520,3,764,1060,3,1,2,8,1919,1950,0.0,180500
1264,5,1337,2,2,511,2,1405,1337,2,2,0,5,1998,1999,0.0,181000
1265,6,1452,2,2,506,2,691,713,2,2,2,6,1999,1999,218.0,183900
1266,6,1889,1,1,308,3,925,964,3,1,2,9,1910,1950,0.0,122000
1269,4,1524,1,3,315,3,874,874,3,1,2,7,1958,1958,180.0,144000
1270,6,1524,2,2,586,2,1332,1332,2,0,0,4,1979,1979,0.0,260000
1271,5,1489,2,3,462,3,1489,1489,2,2,1,7,1968,1968,0.0,185750
1272,4,935,1,3,288,3,935,935,3,1,2,5,1965,1965,114.0,137000
1274,4,1250,2,3,552,3,661,661,3,2,2,8,1910,2003,0.0,139000
1276,5,1395,2,3,497,3,723,735,3,1,2,6,1972,1972,0.0,162000
